sample_id,volume_id,slice_idx,mae,mse,pearson,split
file_brain_AXT2_202_6000459_slice008,file_brain_AXT2_202_6000459,8,0.07128861546516418,0.017428522929549217,0.9849709544789822,train
file_brain_AXT2_200_6002261_slice001,file_brain_AXT2_200_6002261,1,0.0861227735877037,0.03259601071476936,0.9738607871559829,train
file_brain_AXT2_210_2100343_slice008,file_brain_AXT2_210_2100343,8,0.07830570638179779,0.026152854785323143,0.9766054178727511,train
file_brain_AXT2_200_2000092_slice006,file_brain_AXT2_200_2000092,6,0.09184596687555313,0.041407182812690735,0.9567752338861197,train
file_brain_AXT2_208_2080598_slice008,file_brain_AXT2_208_2080598,8,0.06631102412939072,0.022279052063822746,0.9758746673625833,train
file_brain_AXT2_207_2070325_slice009,file_brain_AXT2_207_2070325,9,0.04290275275707245,0.009303148835897446,0.9899541841255524,train
file_brain_AXT2_208_2080329_slice002,file_brain_AXT2_208_2080329,2,0.11624716967344284,0.04890997335314751,0.9536759863958597,train
file_brain_AXT2_204_2040009_slice005,file_brain_AXT2_204_2040009,5,0.06845293939113617,0.021653255447745323,0.9806535360947066,train
file_brain_AXT2_200_6002532_slice004,file_brain_AXT2_200_6002532,4,0.0818975642323494,0.0276509877294302,0.9811433427200995,train
file_brain_AXT2_206_2060013_slice011,file_brain_AXT2_206_2060013,11,0.04108799993991852,0.008843395859003067,0.9865541574478492,train
file_brain_AXT2_206_2060058_slice006,file_brain_AXT2_206_2060058,6,0.07762040197849274,0.023995988070964813,0.9776976343764654,train
file_brain_AXT2_200_6002228_slice000,file_brain_AXT2_200_6002228,0,0.08250133693218231,0.027577826753258705,0.9740500927917464,train
file_brain_AXT2_201_2010585_slice012,file_brain_AXT2_201_2010585,12,0.04822692647576332,0.008012685924768448,0.9879483416248309,train
file_brain_AXT2_206_2060070_slice011,file_brain_AXT2_206_2060070,11,0.06037001684308052,0.01094086654484272,0.9839968554219911,train
file_brain_AXT2_200_6002446_slice007,file_brain_AXT2_200_6002446,7,0.08087766170501709,0.029170764610171318,0.9697313134636226,train
file_brain_AXT2_209_6000981_slice006,file_brain_AXT2_209_6000981,6,0.08586744219064713,0.03191528469324112,0.9648441660903729,train
file_brain_AXT2_210_6001833_slice015,file_brain_AXT2_210_6001833,15,0.03264891356229782,0.007418840192258358,0.9848625405688289,train
file_brain_AXT2_201_2010519_slice011,file_brain_AXT2_201_2010519,11,0.07956591248512268,0.02278023213148117,0.9780102549266906,train
file_brain_AXT2_204_2040009_slice004,file_brain_AXT2_204_2040009,4,0.07115639746189117,0.020580263808369637,0.9815167400211526,train
file_brain_AXT2_200_6002381_slice012,file_brain_AXT2_200_6002381,12,0.04843205586075783,0.01373258139938116,0.9762992599481862,train
file_brain_AXT2_202_2020555_slice010,file_brain_AXT2_202_2020555,10,0.058463338762521744,0.014535549096763134,0.9772803260756016,train
file_brain_AXT2_203_2030288_slice000,file_brain_AXT2_203_2030288,0,0.0790296345949173,0.025878125801682472,0.980779487431826,train
file_brain_AXT2_208_2080414_slice014,file_brain_AXT2_208_2080414,14,0.060175199061632156,0.0058785998262465,0.9914205769350316,train
file_brain_AXT2_210_2100083_slice014,file_brain_AXT2_210_2100083,14,0.16287168860435486,0.03864292427897453,0.9663252008666041,train
file_brain_AXT2_201_2010532_slice002,file_brain_AXT2_201_2010532,2,0.09048336744308472,0.03654604032635689,0.9660991294970902,train
file_brain_AXT2_200_2000057_slice002,file_brain_AXT2_200_2000057,2,0.09583237022161484,0.037882402539253235,0.9613163763964695,train
file_brain_AXT2_203_2030196_slice013,file_brain_AXT2_203_2030196,13,0.0694480836391449,0.012197141535580158,0.9801956007536683,train
file_brain_AXT2_200_6002486_slice012,file_brain_AXT2_200_6002486,12,0.0301818884909153,0.005247324705123901,0.9913345890916975,train
file_brain_AXT2_208_2080722_slice005,file_brain_AXT2_208_2080722,5,0.05072050169110298,0.013444253243505955,0.9899403677050226,train
file_brain_AXT2_201_2010338_slice007,file_brain_AXT2_201_2010338,7,0.06873533874750137,0.023343335837125778,0.974024737530215,train
file_brain_AXT2_200_6002486_slice003,file_brain_AXT2_200_6002486,3,0.1210588663816452,0.058288220316171646,0.9441548854367383,train
file_brain_AXT2_200_6002387_slice013,file_brain_AXT2_200_6002387,13,0.038684096187353134,0.00858338549733162,0.9894198380138486,train
file_brain_AXT2_210_2100075_slice015,file_brain_AXT2_210_2100075,15,0.07302888482809067,0.008264992386102676,0.9912532137696851,train
file_brain_AXT2_202_2020489_slice012,file_brain_AXT2_202_2020489,12,0.08319155871868134,0.014859017916023731,0.9865446101414613,train
file_brain_AXT2_210_2100083_slice007,file_brain_AXT2_210_2100083,7,0.06478988379240036,0.020941773429512978,0.9777095698263514,train
file_brain_AXT2_207_2070500_slice002,file_brain_AXT2_207_2070500,2,0.07389242202043533,0.02086734026670456,0.9822330799635243,train
file_brain_AXT2_208_2080050_slice003,file_brain_AXT2_208_2080050,3,0.09490803629159927,0.03829536586999893,0.9630626839051075,train
file_brain_AXT2_208_2080722_slice011,file_brain_AXT2_208_2080722,11,0.027616826817393303,0.005396576132625341,0.988672915006895,train
file_brain_AXT2_205_6000091_slice010,file_brain_AXT2_205_6000091,10,0.04798239842057228,0.01070980541408062,0.984100153290338,train
file_brain_AXT2_203_2030135_slice004,file_brain_AXT2_203_2030135,4,0.08078662306070328,0.026106860488653183,0.977270502260383,train
file_brain_AXT2_209_6001025_slice006,file_brain_AXT2_209_6001025,6,0.0859571099281311,0.033730994910001755,0.9623288431668511,train
file_brain_AXT2_201_2010241_slice015,file_brain_AXT2_201_2010241,15,0.044162970036268234,0.00558269489556551,0.9846383090057307,train
file_brain_AXT2_200_6002319_slice011,file_brain_AXT2_200_6002319,11,0.09553810954093933,0.05108679085969925,0.9222764341980685,train
file_brain_AXT2_210_6001711_slice012,file_brain_AXT2_210_6001711,12,0.047862615436315536,0.012457740493118763,0.9794051546570094,train
file_brain_AXT2_208_2080532_slice014,file_brain_AXT2_208_2080532,14,0.03689264506101608,0.008753512054681778,0.9815142104772415,train
file_brain_AXT2_210_6001491_slice014,file_brain_AXT2_210_6001491,14,0.04633674398064613,0.005381301045417786,0.9907883265004247,train
file_brain_AXT2_200_6002375_slice001,file_brain_AXT2_200_6002375,1,0.09563536942005157,0.033065762370824814,0.9732621792703364,train
file_brain_AXT2_208_2080630_slice000,file_brain_AXT2_208_2080630,0,0.10459522157907486,0.039299897849559784,0.9641023598909595,train
file_brain_AXT2_210_2100201_slice000,file_brain_AXT2_210_2100201,0,0.07249690592288971,0.020596416667103767,0.9793716474235983,train
file_brain_AXT2_201_2010156_slice012,file_brain_AXT2_201_2010156,12,0.03307998552918434,0.007423196919262409,0.9823667035117233,train
file_brain_AXT2_209_2090215_slice009,file_brain_AXT2_209_2090215,9,0.07508335262537003,0.029453596100211143,0.9538289800985562,train
file_brain_AXT2_209_2090266_slice005,file_brain_AXT2_209_2090266,5,0.08697161823511124,0.028590986505150795,0.9695953248463116,train
file_brain_AXT2_207_2070703_slice011,file_brain_AXT2_207_2070703,11,0.04635963588953018,0.009756012819707394,0.9841462554573995,train
file_brain_AXT2_202_2020500_slice007,file_brain_AXT2_202_2020500,7,0.11952269822359085,0.0283490177243948,0.9858787316085551,train
file_brain_AXT2_201_2010174_slice000,file_brain_AXT2_201_2010174,0,0.09571757167577744,0.029706250876188278,0.9693080389078613,train
file_brain_AXT2_201_2010132_slice008,file_brain_AXT2_201_2010132,8,0.054240867495536804,0.013688735663890839,0.9866638143722567,train
file_brain_AXT2_207_2070460_slice006,file_brain_AXT2_207_2070460,6,0.07895884662866592,0.02785545028746128,0.982406432039256,train
file_brain_AXT2_208_2080713_slice011,file_brain_AXT2_208_2080713,11,0.04478668048977852,0.009080859832465649,0.9844676832632786,train
file_brain_AXT2_208_2080532_slice010,file_brain_AXT2_208_2080532,10,0.08540914207696915,0.036858588457107544,0.9565627056850895,train
file_brain_AXT2_200_2000407_slice009,file_brain_AXT2_200_2000407,9,0.0502009354531765,0.012637101113796234,0.989751387703836,train
file_brain_AXT2_209_2090406_slice009,file_brain_AXT2_209_2090406,9,0.07217427343130112,0.02820931375026703,0.9626402544302175,train
file_brain_AXT2_201_2010626_slice005,file_brain_AXT2_201_2010626,5,0.08381131291389465,0.027837784960865974,0.9738243110511395,train
file_brain_AXT2_201_2010156_slice010,file_brain_AXT2_201_2010156,10,0.048640426248311996,0.013066217303276062,0.9789777488480944,train
file_brain_AXT2_201_2010532_slice012,file_brain_AXT2_201_2010532,12,0.06371977180242538,0.02650681510567665,0.9598651450610117,train
file_brain_AXT2_200_6002532_slice011,file_brain_AXT2_200_6002532,11,0.03982589766383171,0.010658792220056057,0.9847331395602081,train
file_brain_AXT2_202_6000459_slice013,file_brain_AXT2_202_6000459,13,0.0855865553021431,0.03606255352497101,0.946109567260602,train
file_brain_AXT2_207_2070198_slice002,file_brain_AXT2_207_2070198,2,0.10091886669397354,0.040145087987184525,0.9817168025356219,train
file_brain_AXT2_208_2080635_slice007,file_brain_AXT2_208_2080635,7,0.08472616970539093,0.03647768124938011,0.9618415670609805,train
file_brain_AXT2_202_2020116_slice005,file_brain_AXT2_202_2020116,5,0.09582412987947464,0.03438439965248108,0.9636811551221478,train
file_brain_AXT2_200_6002551_slice006,file_brain_AXT2_200_6002551,6,0.10481401532888412,0.04143589362502098,0.9659402352409237,train
file_brain_AXT2_210_2100086_slice007,file_brain_AXT2_210_2100086,7,0.06276142597198486,0.018335172906517982,0.9832648394660793,train
