volume_id,comparator,label,family,delta_top_risk_auprc,mae_reduction,delta_spearman
file_brain_AXT2_208_2080611,direct_lambda_risk,"Direct
risk-target",direct,0.039985579852105047,0.011141155432025304,-0.0046855969526801156
file_brain_AXT2_209_6001384,direct_lambda_risk,"Direct
risk-target",direct,0.10649975206241269,0.028468878977367898,0.004029501188138718
file_brain_AXT2_209_6001459,direct_lambda_risk,"Direct
risk-target",direct,0.05549829689771846,0.004234572644649909,-0.008453437145869436
file_brain_AXT2_210_2100135,direct_lambda_risk,"Direct
risk-target",direct,0.12805331984509205,0.036731110103184195,0.010364559133022366
file_brain_AXT2_210_2100276,direct_lambda_risk,"Direct
risk-target",direct,0.10972060134368378,0.01877987300699889,0.011990038545330317
file_brain_AXT2_210_2100288,direct_lambda_risk,"Direct
risk-target",direct,0.07174213494888082,0.013060612303340213,-0.010459930620047242
file_brain_AXT2_210_2100306,direct_lambda_risk,"Direct
risk-target",direct,0.06466547875257211,0.007219130834688989,-0.007338845258727189
file_brain_AXT2_210_2100368,direct_lambda_risk,"Direct
risk-target",direct,0.02132746447396061,0.00956985331311,-0.017278906106625747
file_brain_AXT2_210_6001524,direct_lambda_risk,"Direct
risk-target",direct,0.01406260218299038,0.014156406036764699,-0.007751529247079558
file_brain_AXT2_210_6001651,direct_lambda_risk,"Direct
risk-target",direct,0.05242188081975108,0.011852763139766104,-0.010746615389504832
file_brain_AXT2_210_6001906,direct_lambda_risk,"Direct
risk-target",direct,0.016838463910454182,0.009998055244336695,-0.006937487754029359
file_brain_AXT2_210_6001941,direct_lambda_risk,"Direct
risk-target",direct,0.025101662857620943,-0.002252647376298905,-0.00375894700751922
file_brain_AXT2_200_2000080,direct_lambda_risk_raw,"Direct raw
residual",direct,0.09392211928863703,0.3131825359922365,0.022600770527848035
file_brain_AXT2_200_2000175,direct_lambda_risk_raw,"Direct raw
residual",direct,0.016084460886888974,0.35392882326085373,0.0015413426817522113
file_brain_AXT2_200_2000360,direct_lambda_risk_raw,"Direct raw
residual",direct,0.00942941123124863,0.3269456372214882,-0.0063657916592847474
file_brain_AXT2_200_2000362,direct_lambda_risk_raw,"Direct raw
residual",direct,0.005637785827722563,0.3599277642331642,0.005159075760993614
file_brain_AXT2_200_6001972,direct_lambda_risk_raw,"Direct raw
residual",direct,0.02595068613331264,0.2767291827426438,0.0377825079090951
file_brain_AXT2_200_6002111,direct_lambda_risk_raw,"Direct raw
residual",direct,-0.008420740456014153,0.27000535339599163,0.00634399523662077
file_brain_AXT2_200_6002151,direct_lambda_risk_raw,"Direct raw
residual",direct,0.07673132437701113,0.36432897050232294,0.009142073234419845
file_brain_AXT2_200_6002242,direct_lambda_risk_raw,"Direct raw
residual",direct,0.13948059025247772,0.34407347621265083,0.027494998379287816
file_brain_AXT2_200_6002524,direct_lambda_risk_raw,"Direct raw
residual",direct,0.1598169527926867,0.2921577556940542,0.02366444686236202
file_brain_AXT2_201_2010625,direct_lambda_risk_raw,"Direct raw
residual",direct,0.051508854273566884,0.4397751060385832,0.005727889101702743
file_brain_AXT2_202_2020189,direct_lambda_risk_raw,"Direct raw
residual",direct,0.08564969300463532,0.3146830047822924,0.04009424573189535
