split,volume_id,slice_idx,num_coils,height,width,reference_scale,target_raw_l1,target_norm_l1,raw_to_norm_l1_ratio,relative_ratio_error,ssdu_loss,diagnostic_target_l1,diagnostic_residual_l1,out_nmse,out_psnr,out_ssim,out_p99,ref_p99,out_p99_ratio,x0_nmse,x0_psnr,x0_ssim,x0_p99,x0_p99_ratio,r_theta,theta_count,lambda_rec_count,lambda_min_center_distance_norm,lambda_mean_center_distance_norm,lambda_acs_overlap_count
train,file_brain_AXT2_200_2000092,2,16,768,396,0.00033539196010679007,2.0720882415771484,6178.1103515625,0.0003353919117118227,1.4429376059453056e-07,0.6578398942947388,6178.1103515625,4064.20751953125,0.307996541261673,18.05428585182089,0.43474239309703894,1.460328459739685,0.9999701976776123,1.4603719822148447,0.11134950816631317,22.472861431233532,0.25282281598365686,0.8027998208999634,0.8028237469112866,6.387096881866455,62,19,0.06835442781448364,0.21172550320625305,0
train,file_brain_AXT2_200_2000092,3,16,768,396,0.00031079811742529273,1.8845901489257812,6063.7119140625,0.0003107981011688868,5.230535508377579e-08,0.6911089420318604,6063.7119140625,4190.685546875,0.33370164036750793,17.21947347062597,0.41189304867851717,1.5109962224960327,0.9999678134918213,1.5110448577521942,0.10060665011405945,22.42678983367331,0.24707486208517304,0.8324891328811646,0.8325159286610788,6.387096881866455,62,19,0.06835442781448364,0.21172550320625305,0
train,file_brain_AXT2_206_2060058,0,16,640,272,0.0005598351708613336,1.852723479270935,3309.40869140625,0.00055983520079645,5.3471303426125716e-08,0.7251792550086975,3309.40869140625,2399.91455078125,0.37401697039604187,15.029248871598881,0.46055564825112644,1.655923843383789,0.9999820590019226,1.655953552841641,0.0691969096660614,22.35729513283576,0.29988258050846633,0.9089022874832153,0.9089185943890609,5.91304349899292,46,11,0.09225092083215714,0.18685005605220795,0
train,file_brain_AXT2_206_2060058,1,16,640,272,0.0005656227585859597,1.8668087720870972,3300.4482421875,0.0005656227988140777,7.112181636165112e-08,0.7128386497497559,3300.4482421875,2352.68701171875,0.3707076609134674,15.152562632871616,0.4712187907501846,1.68175208568573,0.9999822974205017,1.6817818575610806,0.06945645809173584,22.425751737537382,0.29994296306141166,0.9208265542984009,0.9208428555913366,5.91304349899292,46,11,0.09225092083215714,0.18685005605220795,0
train,file_brain_AXT2_206_2060058,2,16,640,272,0.0005830912268720567,1.8283355236053467,3135.5908203125,0.0005830912349153803,1.3794279896813696e-08,0.7427719235420227,3135.5908203125,2329.02880859375,0.3749259412288666,15.08824930633589,0.4789279361699319,1.687854290008545,0.9999828934669495,1.6878831638359846,0.06521971523761749,22.683914943810063,0.295985420689318,0.9285980463027954,0.9286139316667801,5.91304349899292,46,11,0.09225092083215714,0.18685005605220795,0
train,file_brain_AXT2_206_2060058,3,16,640,272,0.0006179913179948926,1.7525324821472168,2835.85302734375,0.0006179912940653189,3.872153697524837e-08,0.7498538494110107,2835.85302734375,2126.475341796875,0.3853122293949127,14.857733882158717,0.4968068805865977,1.7384397983551025,0.9999838471412659,1.7384678795794368,0.05174596607685089,23.577097038170027,0.3031083033655132,0.9580225348472595,0.9580380098989373,5.91304349899292,46,11,0.09225092083215714,0.18685005605220795,0
train,file_brain_AXT2_201_2010241,0,20,768,396,0.00039371036109514534,2.3268344402313232,5910.01611328125,0.0003937103377776513,5.922499452675043e-08,0.7240601181983948,5910.01611328125,4279.20703125,0.3693581819534302,17.00203734592618,0.47463717489666996,1.6789345741271973,0.9999746084213257,1.6789772060073371,0.08888868242502213,23.18805005424555,0.2676549861462275,0.9328922629356384,0.9329159511434755,6.387096881866455,62,19,0.0835443064570427,0.2229180634021759,0
train,file_brain_AXT2_201_2010241,1,20,768,396,0.00040128768887370825,2.350370407104492,5857.0712890625,0.0004012876557424827,8.256227741195055e-08,0.7200218439102173,5857.0712890625,4217.21923828125,0.4003928005695343,16.493000224302378,0.4597956463000942,1.7211520671844482,0.9999750256538391,1.7211950529037887,0.08402613550424576,23.273718871785974,0.25840644317224676,0.9572947025299072,0.9573186109353257,6.387096881866455,62,19,0.0835443064570427,0.2229180634021759,0
train,file_brain_AXT2_201_2010241,2,20,768,396,0.00041124262497760355,2.27925443649292,5542.359375,0.00041124262832431714,8.138051296504344e-09,0.7259098887443542,5542.359375,4023.25341796875,0.4143693149089813,16.12088499346602,0.46568858369373456,1.7441682815551758,0.9999756813049316,1.7442106984815429,0.07608449459075928,23.48179891951263,0.26159022132368803,0.9724426865577698,0.9724663356690787,6.387096881866455,62,19,0.0835443064570427,0.2229180634021759,0
train,file_brain_AXT2_201_2010241,3,20,768,396,0.0003902286698576063,2.2470827102661133,5758.3740234375,0.0003902286828052725,3.317968970722984e-08,0.729753315448761,5758.3740234375,4202.1923828125,0.4025559425354004,16.19603614915528,0.4556067647643356,1.7540422677993774,0.9999744296073914,1.754087120493964,0.08033916354179382,23.195025045368787,0.25556940192042554,0.9767141938209534,0.9767391694240151,6.387096881866455,62,19,0.0835443064570427,0.2229180634021759,0
